id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	lifeStage	occurrenceStatus	eventID	eventDate	eventTime	habitat	samplingProtocol	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	scientificNameID	scientificName
IO/DV/ECD/00418	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00418	IO/DV/ECD/00418	1		Adult	present		2018-05-07		Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	15	15	10.869	72.206			Usha VP, CMLRE	2021-01-06	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:210772	Pearsonothuria graeffei
IO/DV/GAS/00021	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00021	IO/DV/GAS/00021	1	Hermaphrodite	Adult	present		2018-05-03	11:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Lagoon)	10	10	10.86	72.18			Sudhanshu Dixit, CMLRE		Carmona, L., Pola, M., Gosliner, T.M., Cervera, J.L., 2014. Review of Baeolidia, the largest genus of Aeolidiidae (Mollusca: Nudibranchia), with the description of five new species. Zootaxa 3802 (4), 477â€“514.	urn:lsid:marinespecies.org:taxname:730416	Baeolidia moebii
IO/DV/GAS/00022	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00022	IO/DV/GAS/00022	1	Hermaphrodite	Adult	present		2018-05-03	11:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Lagoon)	10	10	10.86	72.18			Sudhanshu Dixit, CMLRE		Carmona, L., Pola, M., Gosliner, T.M., Cervera, J.L., 2014. Review of Baeolidia, the largest genus of Aeolidiidae (Mollusca: Nudibranchia), with the description of five new species. Zootaxa 3802 (4), 477â€“514.	urn:lsid:marinespecies.org:taxname:730417	Baeolidia moebii
IO/DV/GAS/00023	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00023	IO/DV/GAS/00023	1	Hermaphrodite	Adult	present		2018-05-01	09:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Lagoon)	18	18	10.86	72.18			Sudhanshu Dixit, CMLRE	2018-06-22	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:599550	Phyllidia alyta
IO/DV/GAS/00024	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00024	IO/DV/GAS/00024	1	Hermaphrodite	Adult	present		2018-05-03	11:40:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Eatern Jetty)	10	10	10.86	72.2			Sudhanshu Dixit, CMLRE	2018-06-22	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:420528	Chelidonura hirundinina
IO/DV/GAS/00025	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00025	IO/DV/GAS/00025	1	Hermaphrodite	Adult	present		2018-05-04	11:55:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Eatern Jetty)	10	10	10.86	72.2			Sudhanshu Dixit, CMLRE	2018-06-22	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:221070	Phyllidiella zeylanica
IO/DV/GAS/00027	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00027	IO/DV/GAS/00027	1	Hermaphrodite	Adult	present		2018-05-08	09:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Outside lagoon (Agatti Island)	15	15	10.87	72.17			Sudhanshu Dixit, CMLRE	2018-06-28	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:536695	Phyllidiella rosans
IO/DV/GAS/00028	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00028	IO/DV/GAS/00028	1	Hermaphrodite	Adult	present		2018-05-08	09:40:00	Benthic	SCUBA Diving	Arabian Sea	India	Outside lagoon (Agatti Island)	15	15	10.87	72.17			Sudhanshu Dixit, CMLRE	2018-06-28	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:536724	Phyllidiopsis phiphiensis
IO/DV/GAS/00029	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00029	IO/DV/GAS/00029	1	Hermaphrodite	Adult	present		2018-05-08	09:50:00	Benthic	SCUBA Diving	Arabian Sea	India	Outside lagoon (Agatti Island)	15	15	10.87	72.17			Sudhanshu Dixit, CMLRE	2018-06-28	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:866658	Verconia norba
IO/DV/GAS/00036	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00036	IO/DV/GAS/00036	1	Hermaphrodite	Adult	present		2019-02-01	09:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (western side)	22	22	10.94	72.22			Sudhanshu Dixit, CMLRE	2019-03-08	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:536579	Phyllidia marindica
